episode,reward,reward_category
0,31.309718504323158,Low
1,32.27976652501714,High
2,30.51716668338222,Low
3,33.18348342184854,High
4,31.31661259115399,Low
5,30.720990735134837,Low
6,33.649603118627184,High
7,33.70208746098983,High
8,33.15785324553785,High
9,33.31474823719133,High
10,33.175636899228195,High
11,26.346855594182315,Low
12,32.51338748448298,High
13,30.61931518875894,Low
14,33.28560591243205,High
15,33.11121596099068,High
16,31.225089604492346,Low
17,32.95516951721781,High
18,31.069457426779422,Low
19,30.650396238761175,Low
20,33.96468163930986,High
21,33.309642338547995,High
22,31.32926825254378,Low
23,34.370240843120705,High
24,29.995558127085914,Low
25,33.00366732314667,High
26,33.22458561104074,High
27,19.040728685213562,Low
28,34.05007825337878,High
29,31.190593156251087,Low
30,33.306004510553606,High
31,31.69648277920198,Low
32,33.12318577359605,High
33,30.66249142011103,Low
34,33.1304582912051,High
35,34.136169030931256,High
36,33.72314985351503,High
37,33.18475232145184,High
38,33.011770478992474,High
39,31.16213757632767,Low
40,32.14520498784421,High
41,32.3278607210145,High
42,31.538685345448428,Low
43,31.063553249391013,Low
44,34.08523055662642,High
45,32.366905947680756,High
46,33.21056434389974,High
47,33.18620386431242,High
48,31.614654073030614,Low
49,34.13788595986986,High
50,32.15281223379053,High
51,30.543735136170596,Low
52,31.975211341292052,High
53,32.647964300072246,High
54,27.311572160095622,Low
55,30.541661493091546,Low
56,30.736580334065323,Low
57,26.223847791644282,Low
58,33.41850487564385,High
59,33.17403734818376,High
60,27.148792221428224,Low
61,33.577776667704036,High
62,29.598216172731618,Low
63,32.51184214001489,High
64,33.17298576848858,High
65,30.967343646260005,Low
66,30.744763026200015,Low
67,33.99526064943614,High
68,33.85346204398089,High
69,33.691231402694505,High
70,31.75552831137096,Low
71,32.091172673412686,High
72,33.48091933483342,High
73,32.65387730019858,High
74,31.957277906364354,High
75,31.410600803141328,Low
76,30.715898770712528,Low
77,33.15059636362102,High
78,31.77106885829083,Low
79,32.2631135211295,High
80,31.245706187048444,Low
81,33.00067530504031,High
82,30.731470232122344,Low
83,33.732375523459055,High
84,33.502869644139885,High
85,32.699682909672035,High
86,34.38993071088311,High
87,32.944599085667875,High
88,33.181303929048,High
89,33.99051899806588,High
90,32.97861341753821,High
91,31.791092277903,Low
92,30.789515120126342,Low
93,31.22586657931183,Low
94,33.54629065729459,High
95,34.63781549519538,High
96,32.06751527073732,High
97,32.17411857195188,High
98,32.953478356168745,High
99,32.412500870264104,High
100,31.51719548807211,Low
101,31.959256781781523,High
102,31.65581434141095,Low
103,29.28069464367237,Low
104,31.594191940746455,Low
105,33.91884359876249,High
106,30.97913241253145,Low
107,30.88285042474554,Low
108,32.55277405591144,High
109,30.551782177578517,Low
110,31.507037077265824,Low
111,32.54913366085465,High
112,32.90596074102436,High
113,31.375766550788324,Low
114,30.937590044113122,Low
115,32.339031700927826,High
116,32.67796971142994,High
117,32.669036461126524,High
118,31.469476178140116,Low
119,30.569942845916238,Low
120,33.16369385007056,High
121,32.52012962818784,High
122,34.0838821794501,High
123,32.056697326800375,High
124,19.235618266269032,Low
125,32.81897940571648,High
126,32.93455337460618,High
127,32.636486162701004,High
128,29.2656117174875,Low
129,23.802125291528235,Low
130,33.32283633629163,High
131,33.461953889312376,High
132,29.5938162039721,Low
133,33.10578311409302,High
134,33.150998992409,High
135,33.238504272157,High
136,31.732473668690698,Low
137,32.627385580223454,High
138,31.115598849015647,Low
139,30.776971183899377,Low
140,31.004628424294488,Low
141,33.879227013664526,High
142,33.171155005860356,High
143,31.689395385827485,Low
144,29.568116330182548,Low
145,31.912306820588647,High
146,31.810057570379207,Low
147,31.064620097031337,Low
148,31.693853610056593,Low
149,34.21142016202873,High
150,32.53001099673392,High
151,30.47258065200493,Low
152,34.569375794169844,High
153,24.780559728279872,Low
154,32.51088551602566,High
155,34.95778957863965,High
156,32.29580220642947,High
157,30.943362688710636,Low
158,33.513712749063785,High
159,34.1932308697118,High
160,33.50295072167961,High
161,33.30097477358569,High
162,32.93727689955887,High
163,32.007879687698235,High
164,33.29600476385076,High
165,26.98407134207947,Low
166,32.65643911123732,High
167,33.464900398267176,High
168,32.2190475404487,High
169,32.079126686200354,High
170,33.209300596938206,High
171,31.677939672034327,Low
172,19.03887479410206,Low
173,33.340398032921726,High
174,25.158721095661583,Low
175,33.23549528322894,High
176,30.889418780694772,Low
177,32.65600921857235,High
178,24.863512636579102,Low
179,32.071914292575634,High
180,30.988977781723626,Low
181,32.09226902128624,High
182,34.71738008880538,High
183,30.59784923048219,Low
184,31.826701761593036,Low
185,32.51394575236069,High
186,31.558885757085108,Low
187,33.65435185166179,High
188,33.18449771212506,High
189,30.971802801882085,Low
190,32.72044533875678,High
191,34.23695575092318,High
192,33.51530382915934,High
193,31.83731597297553,Low
194,34.96341913245658,High
195,34.22859189877646,High
196,33.06149548259219,High
197,32.030474587169486,High
198,31.95559136819278,High
199,33.26493210837182,High
