episode,reward,reward_category
0,34.02728657656343,High
1,32.206114129973535,High
2,33.66047232612135,High
3,32.24612734846275,High
4,30.440871206046207,High
5,31.927837717768803,High
6,29.744138191384064,High
7,27.746748611708085,Low
8,30.273612360473074,High
9,30.269663350146818,High
10,33.39053047640164,High
11,34.139672985597585,High
12,19.196975705219447,Low
13,31.85491433842929,High
14,28.211677683307688,Low
15,30.63896462959854,High
16,31.864037852451787,High
17,29.07234870093407,High
18,29.15646958389565,High
19,30.38791664650371,High
20,33.46475588383957,High
21,33.918829801840516,High
22,26.69160361787179,Low
23,19.695278177380818,Low
24,32.249063276554054,High
25,25.961002639432756,Low
26,33.30041343636891,High
27,23.438768172483396,Low
28,30.250562181118696,High
29,30.76988793904023,High
30,27.84950659555039,Low
31,32.22659975428289,High
32,33.89306147819724,High
33,31.90388559701048,High
34,29.520580277967316,High
35,30.370766396087717,High
36,19.463685048756744,Low
37,33.373994495175594,High
38,33.54869114375883,High
39,29.388882101106567,High
40,13.234128903220505,Low
41,24.593678847399502,Low
42,28.705614449538604,Low
43,30.57316228866696,High
44,33.659706675676105,High
45,34.2023845143368,High
46,33.58266928632463,High
47,1.0,Low
48,25.02836121371008,Low
49,26.367923688194733,Low
50,33.84506848939852,High
51,1.0,Low
52,31.473143960208876,High
53,30.00409270783259,High
54,30.539110459955666,High
55,31.421585638533813,High
56,23.608284165744195,Low
57,31.96833883569626,High
58,29.712846098769145,High
59,28.52316166173852,Low
60,33.51453996791042,High
61,32.15366197323422,High
62,26.66341535017516,Low
63,28.965081615393203,Low
64,26.31193674932095,Low
65,34.077306902254335,High
66,30.71442923020409,High
67,31.37862067587352,High
68,33.52980256357635,High
69,30.10525927019198,High
70,29.5359877285724,High
71,30.32322714638319,High
72,33.65890489574861,High
73,25.633009167300955,Low
74,31.256671510718142,High
75,21.725036298934114,Low
76,33.26990535919191,High
77,22.594108313778293,Low
78,29.954125107780612,High
79,32.18011865548626,High
80,33.009951590033054,High
81,33.24808997861352,High
82,31.01834509234273,High
83,30.96403732213263,High
84,26.855477597335565,Low
85,29.246068894053842,High
86,30.10517657316715,High
87,28.185566295658575,Low
88,30.327429770538867,High
89,29.97270559060093,High
90,29.07041198173042,High
91,32.40028561251353,High
92,34.16035837326519,High
93,28.494711082688532,Low
94,33.103067416010255,High
95,33.13874404745774,High
96,12.221382807680548,Low
97,33.779043225752005,High
98,33.81225331988797,High
99,29.942623644629734,High
100,33.74146469345983,High
101,32.39838886558119,High
102,30.32067990667872,High
103,30.003137072964662,High
104,19.823591496028563,Low
105,32.60600715238032,High
106,33.618739168835816,High
107,25.547210117986307,Low
108,27.812947184424495,Low
109,33.79298253872194,High
110,16.420328731682353,Low
111,29.309330868739536,High
112,6.760446699020388,Low
113,26.184856227470505,Low
114,29.64133761786465,High
115,33.69806441065857,High
116,31.329757040478103,High
117,26.822673205293185,Low
118,33.16788673658972,High
119,28.283771438832762,Low
120,30.584106135701777,High
121,25.78309336637445,Low
122,30.91031005550122,High
123,25.175645145727003,Low
124,30.263423574791048,High
125,24.19926309184512,Low
126,33.845173374256994,High
127,11.9742654278338,Low
128,33.249303394038435,High
129,29.01397546566607,High
130,34.3292980778852,High
131,13.2204053918891,Low
132,29.297844533531556,High
133,33.596752136735375,High
134,33.93431973145849,High
135,33.335400377018,High
136,33.67909110594224,High
137,12.72690472780125,Low
138,32.921803457595324,High
139,23.231109362064878,Low
140,29.539989052830855,High
141,24.712667615260465,Low
142,29.71299426968944,High
143,33.52301405450931,High
144,34.02251758138382,High
145,33.74046428363099,High
146,33.51251250353266,High
147,31.75508646441295,High
148,32.968827508150575,High
149,30.618862562429086,High
150,30.715480221658375,High
151,27.81838669522267,Low
152,33.31575925239832,High
153,24.617925627152847,Low
154,30.93496327817512,High
155,30.011875950793396,High
156,31.04213358389913,High
157,26.45855379416128,Low
158,27.27493439109744,Low
159,32.46770533502618,High
160,33.018158473039726,High
161,23.652000498162927,Low
162,16.170625568834463,Low
163,19.62063974670865,Low
164,32.95375131147453,High
165,33.90745269087123,High
166,32.972138723147715,High
167,32.27350794705181,High
168,31.043921911765317,High
169,28.509238652222415,Low
170,32.49607570660158,High
171,30.841012304135607,High
172,33.76111479092238,High
173,32.95498463717124,High
174,30.09636229246785,High
175,32.61995380015077,High
176,32.43310664275074,High
177,32.37325972514529,High
178,32.957357326961116,High
179,30.118893729313697,High
180,33.01961212982875,High
181,33.25479182445878,High
182,25.44982687723162,Low
183,33.1021962271691,High
184,33.53945038641648,High
185,32.55719278608688,High
186,29.335893922800814,High
187,3.4295204043071337,Low
188,32.21213770082251,High
189,33.605001287867836,High
190,29.76594895404238,High
191,29.776482641212322,High
192,29.541016848179805,High
193,27.628175717680406,Low
194,33.83558360426284,High
195,29.186103264326064,High
196,11.53777670050939,Low
197,33.30205980400222,High
198,6.887147243598198,Low
199,26.181760019798414,Low
