server_index,usage_count
0,41.0
1,33.0
2,21.0
3,39.0
4,3.0
5,28.0
6,0.0
7,0.0
8,108.0
9,106.0
10,0.0
11,28.0
12,16.0
13,25.0
14,17.0
15,255.0
16,0.0
17,1.0
18,0.0
19,0.0
20,1.0
21,0.0
22,39.0
23,0.0
24,7.0
25,51.0
26,0.0
27,158.0
28,21.0
29,0.0
