server_index,usage_count
0,8.0
1,0.0
2,2.0
3,0.0
4,6.0
5,0.0
6,0.0
7,0.0
8,0.0
9,129.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,81.0
18,29.0
19,76.0
20,156.0
21,0.0
22,0.0
23,5.0
24,63.0
25,1.0
26,48.0
27,108.0
28,31.0
29,254.0
