metric,Server1,Server2,Server3
Avg_Reward,32.20331249908255,32.061455558548104,32.29491908371703
Success_Rate,0.97,0.955,0.98
Completion_Rate,0.97,0.955,0.98
Response_Time,0.020495667457580566,0.03413439273834228,0.02535576343536377
