metric,Server1,Server2,Server3
Avg_Transmission_ms,254.31883783539004,247.17612796119383,259.77616698391296
Avg_Latency_ms,1.0355264117241965,1.033542145480208,1.0346155758634377
Avg_Bandwidth_100Mbps,9.99289471765516,9.993291570903958,9.993076884827312
Avg_Hops,1.0,1.0,1.0
