server,episode,communication_overhead
Server1,0,0.4810287515603149
Server1,1,1.9864092347766766
Server1,2,0.5560775835973927
Server1,3,1.726268297986175
Server1,4,0.5559322692742918
Server1,5,1.0365919755548536
Server1,6,1.666281417724792
Server1,7,2.3463262078565124
Server1,8,2.2724504236774563
Server1,9,1.565771500062681
Server1,10,0.20040261627504755
Server1,11,1.1809929844276592
Server1,12,2.4284704312921677
Server1,13,0.8965845367272199
Server1,14,1.4066346027444763
Server1,15,2.2306392183671644
Server1,16,1.6722982711269359
Server1,17,1.315475307490955
Server1,18,0.28048083386729566
Server1,19,0.5254178331759214
Server1,20,1.141424963780818
Server1,21,0.4161920128742544
Server1,22,1.7472065440887758
Server1,23,0.876159048310279
Server1,24,0.7410208066151976
Server1,25,1.3154890648993103
Server1,26,1.8869475910388833
Server1,27,1.1452344947388302
Server1,28,1.4263331926087668
Server1,29,1.0706064453008874
Server1,30,0.11039026944932488
Server1,31,2.548505013856675
Server1,32,1.5069749571849722
Server1,33,0.08049765659841691
Server1,34,0.09033113636535445
Server1,35,1.2060515314613949
Server1,36,0.7704379612372947
Server1,37,2.268126293920506
Server1,38,0.06565610260795544
Server1,39,2.187252973611843
Server1,40,0.405728417559498
Server1,41,1.6720567592157207
Server1,42,0.8360188831640041
Server1,43,1.8469913873122528
Server1,44,0.5653645421437168
Server1,45,1.1969405386132694
Server1,46,1.4308845362768843
Server1,47,1.351808984340372
Server1,48,0.13524210099880696
Server1,49,2.170453899753312
Server1,50,0.9610434913386882
Server1,51,0.9610662717253313
Server1,52,1.9264338668307919
Server1,53,0.08034750609005509
Server1,54,1.726285599660194
Server1,55,0.6815099841835459
Server1,56,0.6057694200021381
Server1,57,0.2456990499161597
Server1,58,1.9062662912314479
Server1,59,2.061966375893914
Server1,60,2.331875123442563
Server1,61,1.8357030605958011
Server1,62,1.2471876891011326
Server1,63,1.6316351639259905
Server1,64,0.21026358744736467
Server1,65,0.7807180038146045
Server1,66,0.4452589755287162
Server1,67,0.6154157049748545
Server1,68,1.7015667355833997
Server1,69,2.2623233388715875
Server1,70,1.0008628727124524
Server1,71,2.1872493643848383
Server1,72,1.4969869553174546
Server1,73,1.5862461167729789
Server1,74,1.0865672173102745
Server1,75,1.135956402973767
Server1,76,1.590873419345647
Server1,77,0.2157372292773995
Server1,78,1.5319177006212856
Server1,79,2.0562712399189014
Server1,80,1.3008531611256504
Server1,81,1.530494606017682
Server1,82,1.5667075650274433
Server1,83,0.7362756769775474
Server1,84,1.171247849516105
Server1,85,0.1352438500440018
Server1,86,0.721038014420848
Server1,87,1.565840444770788
